NAME	BLCA_C	BRCA_C	CESC_C	COAD_C	KICH_C	KIRC_C	KIRP_C	LUAD_C	LUSC_C	OV_C	PRAD_C	READ_C	UCEC_C	BLCA_N	BRCA_N	CESC_N	COAD_N	KICH_N	KIRC_N	KIRP_N	LUAD_N	LUSC_N	PRAD_N	READ_N	UCEC_N
ITK	31.16195	61.04965	69.49245	43.29	13.54345	149.625	35.1446	132.4503	81.4815	25.154	30.2198	38.69685	32.28935	98.2353	63.0717	34.6535	96.194	19.7308	18.44095	19.69305	200.7201	303.2721	27.6958	100.1025	42.7957
JAK2	224.6228	399.22075	364.94955	299.2498	365.05555	447.0966	232.172	331.4358	302.1542	177.3005	233.9623	279.771	151.5867	549.8542	635.5184	457.9505	403.7925	418.105	485.3348	361.0615	624.4218	668.1034	346.6923	409.09445	474.63535
JAK3	292.6032	188.4231	277.9015	210.2336	73.232	546.8472	397.4115	499.3824	376.6603	356.2215	107.5613	196.8694	269.12405	248.062	168.7117	153.3569	192.6767	92.0981	84.6468	71.6582	231.2829	373.5229	106.47945	130.66625	155.15455
JMJD6	666.75565	448.72845	630.37755	598.7612	391.9278	521.8644	582.9633	551.1842	584.8534	394.3954	530.422	574.91815	497.22725	931.0954	437.3361	663.6042	454.9112	499.9562	333.646	389.2928	474.5634	493.1993	534.46715	466.523	496.01875
KANK1	968.06075	707.85405	715.62315	1200.7741	1515.4066	1643.0493	1272.4868	628.311	676.6667	818.1436	1242.0778	1240.0943	1004.3009	3417.4397	2718.1054	3208.8339	1077.0378	1840.2546	2325.46795	2193.7579	1172.9692	1184.3907	2567.9402	1213.12235	2583.34535
KIF14	250.6917	173.8318	391.6105	251.5819	6.9136	25.8413	10.3922	149.1958	337.9143	166.0109	12.7452	253.9847	190.2452	15.329	11.7086	3.6304	50.6958	2.2183	3.5808	2.55995	10.1695	9.5955	4.74435	61.79435	8.01025
KIFAP3	626.24955	1177.45655	707.28	639.9457	584.94605	1029.185	735.266	794.7351	740.7143	696.5531	542.4644	715.27495	625.01705	593.6396	928.9978	894.8595	1143.0518	934.5273	1087.49655	937.8084	876.8511	838.1119	615.84675	846.26455	758.55845
KITLG	275.0523	1109.68095	591.18235	544.7603	1669.39685	700.3383	1550.3493	1715.0896	1323.1681	126.135	402.9163	471.28145	188.37885	640.6643	1114.8492	1046.5347	1210.4152	1901.5584	2308.16305	1596.25295	2202.0815	2051.3699	1024.43705	1247.06705	977.48445
KNG1	0	0	0	1.9546	124.39	1.224	0.5584	0	0	0	0	7.5475	0.88845	0	0	0	32.6829	19263.7409	20343.7137	17167.04135	0.3086	0.3883	0	38.9094	0
LAMB1	4582.9787	3612.93495	2200.1872	4084.3936	8570.55685	4845.2033	16131.8477	2650.3206	3963.3441	1015.8197	1117.7351	4304.6415	3617.33035	4151.5985	4872.508	4325.7951	3191.9903	7657.1231	7714.97765	8110.9312	3319.5616	4344.7725	1817.81375	3376.3128	5065.5704
LAMB4	1.3885	1.63305	0.84085	0.9058	254.7734	5.7118	15.4407	1.773	2.8916	0.9033	1.1932	0.9078	8.69175	2.9412	2.6613	0.3534	1.2029	54.6825	56.4619	54.16	2.5052	5.0095	2.01805	1.6885	1.72535
LAMC2	2037.47315	882.35515	4960.2469	3624.4131	52.4183	166.1881	1671.1052	3300.4234	7366.9896	2823.1381	672.6279	3435.34995	3334.54725	530.5445	4048.1928	100.3534	1941.3694	1121.1743	1026.68865	861.6194	3501.5576	3402.7611	708.71525	1911.1602	1340.6283
LEPR	127.3111	155.28	121.80965	111.9098	89.0422	473.149	306.3855	291.6736	179.833	186.7893	264.2403	139.833	152.9571	653.2012	1686.1936	1093.2244	279.6068	784.4967	783.6145	488.1196	1492.8801	1272.209	482.45965	474.6833	1819.477
LFNG	458.5397	825.81525	360.5489	2159.4488	63.2789	283.8294	458.1124	1012.9573	362.3937	274.6586	1432.9687	2257.14025	694.022	431.8787	632.2566	371.3781	1293.4992	245.4579	199.162	237.16675	579.931	603.6249	647.47875	1137.78985	516.74015
LIMA1	2792.93825	2794.5339	2735.14595	3225.5892	8569.79365	2209.2574	1397.9187	1806.7169	3566.6179	840.3491	2215.7635	2859.13335	996.10555	3013.9147	4483.9937	1425.634	8607.8529	2663.9758	2618.6638	2129.19005	2132.2034	2227.8532	2773.02975	7657.85565	1543.7371
LPXN	189.20295	309.65765	228.24875	227.589	193.02245	445.2187	427.7016	448.8744	303.2552	219.8445	223.7154	210.7134	213.95015	409.4896	249.5567	161.3861	371.7949	227.0926	184.0551	199.8599	1003.112	1132.0297	209.4902	344.0494	235.23795
LY9	11.8362	26.25965	21.2644	14.2609	8.2426	46.3878	18.8991	81.3439	58.16	14.1389	14.8148	10.2912	20.0735	39.5349	31.4108	14.5215	114.2256	5.7703	5.9442	7.9095	59.2593	85.7332	19.41195	114.9843	17.78585
MAD1L1	659.1059	386.92495	591.4516	453.8136	402.30965	353.8323	812.7579	518.0442	476.4297	549.1645	548.3871	466.449	855.9274	430.5162	312.3886	450.8251	372.4908	344.6473	292.5824	365.0206	456.337	484.8712	404.0831	369.0706	525.85315
MADCAM1	1.24985	1.08315	1.00255	3.9246	1.777	0.969	1.7609	2.1882	1.7902	1.5994	2.3477	6.24125	3.72615	0.7236	1.0225	0.3534	111.8558	0.3594	0.498	0.8537	0.9636	2.2239	1.36015	115.9347	1.26685
MAP3K8	297.383	162.68095	277.12635	185.219	104.45435	160.7807	126.5823	297.037	253.3012	288.3987	58.9835	200.24645	195.7887	811.421	460.2792	381.6313	152.3998	107.0487	89.5389	91.6306	676.2346	830.407	105.49055	171.65545	276.816
MAPK1	2212.39355	2914.261	2561.2999	2672.6392	4199.13065	5013.6609	2645.4721	2825.8914	3561.0086	2362.8555	2868.649	2729.62565	2291.92345	1475.2791	1656.2258	3064.6643	1800	1312.6835	1492.40895	1292.2511	1568.554	1579.4805	1089.8405	1816.1124	1699.46045
MAPK10	286.47925	65.5792	42.28965	13.2845	54.6746	259.4468	301.0535	56.5593	137.5824	37.0561	581.3983	19.3832	92.4031	2812.2102	3501.6221	2453.3569	3449.7773	3598.4822	4382.03795	3654.3211	3382.6367	3645.8196	3218.4382	3497.42855	2395.81655
